objectid,title,displaydate,medium
0,Saint James Major,c. 1310,tempera on panel
1,Saint Paul and a Group of Worshippers,1333,tempera on panel
17,Matteo Olivieri (?),1430s,tempera (and oil?) on panel transferred to canvas
70,An Old Woman Dozing over a Book,c. 1655,oil on canvas
29,"The Crucifixion with the Virgin, Saint John, Saint Jerome, and Saint Mary Magdalene [left panel]",c. 1482/1485,oil on panel transferred to canvas
8772,Ornament,,engraving
4554,Beethoven,1927,woodcut
58,"Henry, Duke of Gloucester",c. 1653,oil on canvas
49,Portrait of a Man with an Arrow,c. 1470/1475,oil on panel
59,Portrait of a Gentleman,1569,oil on canvas
611,The Annunciation,c. 1502/1504,woodcut
52,Christ Appearing to the Virgin,c. 1475,oil on panel
61,The Lacemaker,c. 1925,oil on canvas
62,The Smiling Girl,c. 1925,oil on canvas
72,Sir Brian Tuke,c. 1527/1528 or c. 1532/1534,oil on panel
509,Scene from Ancient History,c. 1750,oil on canvas
77,Adriaen van Ostade,1646/1648,oil on canvas
80,An Old Lady with a Book,1637,oil on canvas
87,Pope Innocent X,c. 1650,oil on canvas
89,Portrait of a Young Man,c. 1650,oil on canvas
90,Saint Ildefonso,c. 1603/1614,oil on canvas
91,Saint Martin and the Beggar,1600/1614,oil on canvas
94,María Luisa of Spain Wearing a Mantilla,c. 1799/1800,oil on canvas
111,Miss Juliana Willoughby,1781-1783,oil on canvas
112,Mrs. Davies Davenport,1782-1784,oil on canvas
613,The Adoration of the Magi,c. 1501/1503,woodcut
272,The Baptism of Christ,c. 1335,tempera on panel
294,The Triumph of Camillus,c. 1470/1475,tempera on panel
365,Giovanni Emo,c. 1475/1480,oil on panel transferred to canvas mounted on panel
368,Saint Florian,c. 1473/1474,tempera on poplar panel
391,The Trojans Repairing Their Ships in Sicily,c. 1520,oil on canvas
426,Saint John the Baptist,c. 1480,oil on poplar panel
494,Apollo and Marsyas,c. 1540,oil on panel
526,The Apparition of the Virgin,1530/1540,oil on panel
531,The Holy Family,c. 1527/1528,oil on panel
567,Alexander Hamilton,c. 1806,oil on canvas
992,Baron Graham,1804,oil on canvas
1002,La France,1904,bronze
1107,Matilda Caroline Cruger,c. 1795,oil on canvas
1135,A Gentleman of the Morris Family,1749/1752,oil on canvas
1139,Orpheus,c. 1515,oil on panel transferred to canvas
1146,The White Horse,1818-1819,oil on canvas
1151,Landscape with Picnickers and Donkeys by a Gate,c. 1830-1880,oil on canvas
1153,Horsemen and Herdsmen with Cattle,1655/1660,oil on canvas
1161,"John, 4th Earl of Darnley",1785,oil on canvas
1160,The Hon. Mrs. Thomas Graham,c. 1775/1777,oil on canvas
1167,Portrait of a Man,1648/1650,oil on canvas
1174,The Hoppner Children,1791,oil on canvas
1183,Madonna and Child,late 1460s,tempera on panel transferred to canvas
1189,Madonna and Child,c. 1470,tempera on poplar panel
1192,Bianca Maria Sforza,probably 1493,oil on poplar panel
1212,The Hon. Mrs. Gray,c. 1785/1790,oil on canvas
1197,Head of Saint Matthew,probably early 1660s,oil on panel
1199,The Circumcision,1661,oil on canvas
1202,Study of an Old Man,probably late 17th century,oil on panel
1205,The Philosopher,c. 1653,oil on panel
1213,Lady Cornewall,c. 1785-1786,oil on canvas
1218,The Rape of the Sabine Women,c. 1770,oil on paper on canvas
1221,Emilia di Spilimbergo,c. 1560,oil on canvas
1222,Irene di Spilimbergo,c. 1560,oil on canvas
1228,Giovanni Vincenzo Imperiale,1626,oil on canvas
1227,The Virgin as Intercessor,1628/1629,oil on canvas
1230,A Genoese Noblewoman and Her Son,c. 1626,oil on canvas
9491,Girl Sewing,,etching
11492,The Dance of Albion (Glad Day),c. 1803/1810,engraving
12133,The Annunciation,c. 1435/1440,tempera on panel
12135,Madonna and Child with Saints,c. 1490/1500,oil on panel transferred first to canvas and then to wood
12146,Saint John in the Desert,c. 1445/1450,tempera on panel
31259,"Glow Worms, Muck Worms",probably 1812,
12196,La Bonne Mère,1779,etching and engraving
12194,The Comte d'Artois and His Sister Mademoiselle Clotilde,1767,engraving
12195,Duchesse de Nemours,1707,engraving
12200,The Bath of Venus,1751,oil on canvas
30204,Veduta dell' ... Colosseo,,etching
30919,"Vue D'optique, or A Treat for the Curious",1784,
30219,Seated Figure,,graphite on wove paper
30218,Peach Blossom,c. 1890-1894,oil on wood
30247,Salute to the Sun,,lithograph
30664,Half-Length of a Lawyer and Other Sketches,,"graphite and pen and brown ink with pink, brown, and blue wash"
30777,Do You Want Any Matches?,published 1794,colored stipple engraving
30778,A New Love Song Only a Ha'Penny a Piece,published 1796,colored stipple engraving
30779,"Round and Sound, Five Pence a Pound, Duke Cherries",published 1795,colored stipple engraving
30780,Turnips and Carrots Ho,1797,color stipple engraving
31115,A Sad Story,,
31468,The Old Bull (?),,
32450,Great Tern,1836,hand-colored engraving and aquatint on Whatman wove paper
32565,Lazuli Finch,1838,hand-colored engraving and aquatint on Whatman wove paper
32669,Rectory Wall (Le mur du presbytere),,etching and drypoint
32670,Along the River (Le long de la rive),,etching and drypoint
32671,Avenue of Poplars (L'allee de peupliers),,drypoint
32672,"Poplars near Amiens (Pres d'Amiens, les tourbieres)",,drypoint and etching
32673,The Good Samaritan (Le bon samaritain),,etching and drypoint
32692,The Baptism of Christ,1641/1642,oil on canvas
33251,Study,1894,lithograph in black on laid paper
34677,Engravers,1642,etching
36994,Tillie: A Model,1873,drypoint in dark brown on laid paper
36995,"A Child on a Couch, No.2",c. 1873/1875,drypoint on laid paper
36996,Agnes,c. 1873/1875,drypoint on laid paper
37025,Christ Bearing the Cross,in or before 1509,woodcut
37006,Head of an Old Man,,"black chalk, heightened with white, on brown paper"
37636,Portrait of a Man with a Dog,c. 1520,oil on canvas
38157,Pierre Gassendi,,engraving
39706,Das Vogelpaar,1947/1948,wood engraving
39754,Henry VII and the Family of Henry VIII in Whitehall Palace,,engraving
39755,Lady Jane Grey,1748,engraving
39756,Charles I of England and the Duke of Hamilton,1782,engraving
39757,"Augustus Stellingwerf, First Lord Admiral of Friesland",,engraving
39760,Mending the Harness,mid to late 1870s,oil on canvas
41572,Farm on a Hill (La ferme sur la colline),,etching
41590,The Holy Family,probably c. 1500,oil on panel transferred to hardboard
41594,Venus Blindfolding Cupid,c. 1566/1570 or c. 1576/1580,oil on canvas
41600,Portrait of a Clergyman (Johann Dorsch?),1516,oil on parchment on fabric
41641,The Rule of Bacchus [left panel],c. 1535,oil on hardboard transferred from panel
41654,The Adoration of the Magi,fourth quarter 15th century,oil on canvas transferred from panel
41678,Saint Anthony of Padua,c. 1495/1500,oil (?) on panel
42689,Sketch (Croquis),1898,drypoint
42836,Corrida. Wounded Female Torero III (Corrida. Femme Torero blessée III),1933,etching and aquatint
42838,Spoleto - Italy,1951,etching
42927,Moonlight,c. 1905,oil on canvas
43426,Jan Asselijn,c. 1647,"etching, drypoint and burin"
43427,"The Artist's Mother Seated at a Table, Looking Right",c. 1631,etching
43622,Parade (A Theatrical Procession in Paris),,black chalk with watercolor on laid paper
43719,The Crucifixion,c. 1480,"metalcut, hand-colored in brown lake, pale ochre, and light green"
45721,Portrait,,lithograph
45639,Our Jolly Cook (Campaign Sketches),,lithograph
45653,Connie No. 2,,lithograph
45867,Vase of Flowers,1900/1903,oil on canvas
46037,Young Woman and Man,18th century,oil on wood
46060,Bacchus and Ariadne,c. 1743/1745,oil on canvas
46099,John Smith Warner (?),c. 1827,oil on canvas
46102,Madonna and Child Enthroned with Saint Peter and Saint Paul,c. 1430,tempera (?) on panel
46104,The Infant Bacchus,probably 1505/1510,oil on panel transferred to panel
46113,Madame David,1813,oil on canvas
46149,Ceres (Summer),c. 1717/1718,oil on canvas
46151,Saint Jerome and the Angel,c. 1622/1625,oil on canvas
46154,"Prince Hercule-François, Duc d'Alençon",1572,oil on canvas
46174,Still Life with Sweets and Pottery,1627,oil on canvas
46190,The Larder,probably c. 1650/1660,oil on canvas
46418,Battle of Nashville,c. 1893,color lithograph
46421,At the National Gallery,,lithograph
46422,Bamboo,,brush and black and gray ink on paperboard
46423,Reginald Marsh,published 1956,1 vol: ill: 1 engraving by Reginald Marsh (see 1961.23.1.a)
46424,Girl with Umbrella,1938,engraving and drypoint in black
46425,Earl Warren,1963,oil on canvas
46420,Page from a Book of Hours,c. 1400?,manuscript page with text and illuminated initials on vellum
46426,"Lake Albano, Sunset",c. 1874,oil on canvas
46430,The Nativity,c. 1490/1500,engraving
46466,Picnic on the Beach,1962,graphite on wove paper
46465,"The Prodigal Son, 2nd plate (L'enfant prodigue)",,etching and drypoint
46467,Christ on the Cross,c. 1483,woodcut
46469,Young Lady Wearing a Mantilla and Basquina,c. 1800/1805,oil on canvas
46489,Wandering Saltimbanques,1847/1850,oil on wood
46515,"Odalisque, Half-Length--The Tattoo",1923,oil on canvas
46518,Portrait of a Man,c. 1845,oil on canvas
46519,Café Singer,1917,oil on canvas
49102,Woman Standing beside a Rosebush,,etching
46522,Chaim Soutine,1917,oil on canvas
46550,Nude,1910,oil on cardboard
46565,Peonies,1926,oil on wood
46566,Still Life: Le Jour,1929,oil on canvas
46567,Still Life: The Table,1928,oil on canvas
46568,Still Life with Fish,1882,oil on canvas
46596,Madame Camus,1869/1870,oil on canvas
46615,Judgment of Paris,1925,oil on canvas
46626,La Mousmé,1888,oil on canvas
46628,Portrait of Vincent van Gogh,1925/1928,oil on canvas
46629,Dr. Vignardonne,1827,oil on canvas
46757,The Peasant Fight,1547,engraving
46630,The Bridge of Louis Philippe,1875,oil on canvas
46640,La coiffure,1901,oil on canvas
46641,Les Gorges du Loup,1920/1925,oil on canvas
46816,The Tale of the Ebony Horse,1945/1946,color lithograph
46650,Madame Kisling,c. 1917,oil on canvas
46653,Woman Seated under the Willows,1880,oil on canvas
46656,Jerusalem Artichoke Flowers,1880,oil on canvas
46658,"Waterloo Bridge, Gray Day",1903,oil on canvas
46659,Madame Cahen,1869,oil on canvas
46662,The Market,1929,oil on canvas
46677,Spring Woods,c. 1910,oil on canvas
46678,Evocation of Roussel,c. 1912,oil on canvas
46894,Still Life,,lithograph
47898,Sappho,,glyptograph
49132,Dar Beschutzer,1940,wood engraving
50294,Salt Water Marsh Hen,1832,lithograph in black
50291,Eleazer Tyng,1772,oil on canvas
50714,David Ben Gurion,1959,graphite on laid paper
50715,Portrait of David Ben Gurion (no. 3),c. 1961,drypoint
50718,Michelangelo,1938,etching
50713,Mother and Mary,1922,oil on canvas
50725,"Wreath of Laurel, Palm, and Juniper with a Scroll inscribed Virtutem Forma Decorat [reverse]",c. 1474/1478,tempera on panel
50726,The Temptation of Christ,c. 1500/1504,oil on panel
50728,Sketch for Ohio State Capitol Design,c. 1838,drawing on wood
51084,The Last Thrust - Ahab's Death,1966,6-color lithograph (stone)
51085,The Vortex,1966,6-color lithograph (stone)
51086,The Skyhawk,1966,4-color lithograph (stone)
51087,"Ishmael, The Epilogue",1966,5-color lithograph (stone)
51088,Wisconsin,1936,oil on canvas
51131,Primo Mobile (Prime Mover),c. 1465,engraving with traces of gilding
51132,Prima Causa (First Cause),c. 1465,engraving with light gilding
52082,Man Monkey,1905,etching in black
52083,"Sous-Marin Minerve, Disparu le 27 Janvier 1968",,woodcut in gray-green
52159,Women on the Beach at Berck,1881,oil on wood
52164,Paris Scene with Bridge,,oil on wood
52165,Banks of the Seine at Médan,c. 1885/1890,oil on canvas
52166,Bridge on the Saône River at Mâcon,1834,oil on paper on canvas
52167,Madame Stumpf and Her Daughter,1872,oil on canvas
52347,Cattleya Mendelii Quorndon House Var.,,color lithograph
52172,Road in Provence,probably 1920/1935,oil on canvas
52171,Ballet Dancers,c. 1877,pastel and gouache over monotype
52183,Madame Lépine,n.d.,oil on canvas
52184,Still Life,c. 1905,oil on cardboard on wood
52182,Bon Bock Café,1881,oil on wood
52188,Bridge at Argenteuil on a Gray Day,c. 1876,oil on canvas
52190,"The Island of Raguenez, Brittany",1890/1895,oil on canvas
52194,Girl in a Boat with Geese,c. 1889,oil on canvas
52197,Hampton Court Green,1891,oil on canvas
52206,Woman and Two Children in a Field,1880/1900,oil on canvas
52208,Georges Rivière,1877,oil on cement
52225,"Study for ""La Grande Jatte""",1884/1885,oil on wood
52348,Cattleya Rex,,lithograph
52240,Woman Sitting by the Fireside,c. 1894,oil on cardboard
52309,Grove of Trees,1859,"pen with brown and black ink, gray wash, and graphite on gray paper"
52398,Pastry Chef,c. 1923,oil on canvas
52445,Bizarre,1928,oil on canvas
